Watershed,Waterbody,Latitude,Longitude,dDATE,nDO,nPH,nTEMP,nSPCOND,nTDS,nDEPTH
Deerfield,Cold River,42.6669733,-73.03021008,2020-01-21,,,0.0,,,
Farmington,Hubbard Brook,42.06549234,-72.96751307,2020-01-21,,,0.0,,,
Quinebaug,Browns Brook,42.03481475,-72.16158627,2020-01-23,,,0.1,,,
Chicopee,West Branch Swift River,42.46470593,-72.38454489,2020-02-04,,,1.1,,,
Chicopee,Unnamed Tributary,42.39432391,-72.04921345,2020-01-23,,,0.8,,,
Deerfield,Cold River,42.6669733,-73.03021008,2020-09-08,,,16.4,,,
Farmington,Hubbard Brook,42.06549234,-72.96751307,2020-09-08,,,19.1,,,
Quinebaug,Browns Brook,42.03481475,-72.16158627,2020-09-09,,,18.5,,,
Chicopee,West Branch Swift River,42.46470593,-72.38454489,2020-09-09,,,19.1,,,
Chicopee,Unnamed Tributary,42.39432391,-72.04921345,2020-09-09,,,17.2,,,
Blackstone,Weasel Brook,42.30793443,-71.80008188,2019-11-01,9.2,7.4,14.9,484.0,310.0,0.0
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2019-11-01,9.5,7.3,13.2,521.0,333.0,0.0
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2019-11-01,9.3,7.1,14.5,451.0,289.0,0.3
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2019-11-01,9.1,7.1,14.5,516.0,330.0,0.2
Blackstone,Blackstone River,42.17728889,-71.68788468,2019-11-01,9.8,7.6,15.2,426.0,272.0,0.2
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2019-11-01,9.7,7.0,13.8,246.0,157.0,0.1
Blackstone,Singletary Brook,42.18277682,-71.76604587,2019-11-01,12.4,7.3,8.1,192.0,123.0,
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2019-11-01,9.6,7.1,11.6,331.0,212.0,0.3
Blackstone,Dark Brook,42.20322946,-71.8374543,2019-11-01,9.7,7.1,13.2,961.0,615.0,0.0
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2019-11-01,10.0,7.5,12.8,763.0,488.0,0.0
Blackstone,Dark Brook,42.20670671,-71.85281517,2019-11-01,9.3,7.3,13.3,505.0,323.0,
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2019-11-01,9.8,7.3,13.0,252.0,161.0,0.1
Blackstone,Weasel Brook,42.30793443,-71.80008188,2019-12-11,11.8,,6.3,1699.0,1088.0,0.2
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2019-12-11,12.5,,4.0,1134.0,725.0,0.1
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2019-12-11,13.0,,2.5,571.0,366.0,0.1
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2019-12-11,12.7,,2.4,569.0,364.0,0.5
Blackstone,Blackstone River,42.17728889,-71.68788468,2019-12-11,13.2,,3.4,580.0,371.0,0.4
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2019-12-11,13.4,,2.3,225.0,144.0,0.1
Blackstone,Singletary Brook,42.18277682,-71.76604587,2019-12-11,13.2,,2.6,370.0,237.0,0.0
Blackstone,Dark Brook,42.20322946,-71.8374543,2019-12-11,12.3,,3.8,2671.0,1710.0,0.2
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2019-12-11,12.6,,4.0,,,0.4
Blackstone,Dark Brook,42.20670671,-71.85281517,2019-12-11,13.1,,1.8,605.0,387.0,0.1
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2019-12-11,12.8,,3.1,404.0,259.0,0.2
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2019-12-11,12.2,,4.2,646.0,413.0,0.1
Blackstone,Weasel Brook,42.30793443,-71.80008188,2020-01-30,12.6,,3.6,1004.0,643.0,
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-01-30,13.9,,1.1,734.0,470.0,0.0
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2020-01-30,13.0,,2.1,684.0,438.0,0.2
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2020-01-30,13.3,,2.0,655.0,419.0,0.3
Blackstone,Blackstone River,42.17728889,-71.68788468,2020-01-30,13.4,,3.0,592.0,379.0,0.2
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2020-01-30,13.3,,2.3,273.0,175.0,0.2
Blackstone,Singletary Brook,42.18277682,-71.76604587,2020-01-30,13.3,,2.7,169.0,108.0,0.1
Blackstone,Dark Brook,42.20322946,-71.8374543,2020-01-30,12.5,,4.7,1209.0,774.0,0.2
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2020-01-30,13.3,,2.7,1558.0,997.0,0.4
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-01-30,13.2,,1.7,428.0,274.0,0.0
Blackstone,Dark Brook,42.20670671,-71.85281517,2020-01-30,12.6,,3.0,538.0,344.0,0.1
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2020-01-30,12.8,,3.0,328.0,210.0,0.0
Blackstone,Weasel Brook,42.30793443,-71.80008188,2020-04-09,10.8,,8.4,981.0,628.0,0.1
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-04-09,11.5,,8.3,661.0,423.0,0.2
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2020-04-09,10.4,,10.0,568.0,363.0,0.3
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2020-04-09,10.1,,11.6,623.0,399.0,0.5
Blackstone,Blackstone River,42.17728889,-71.68788468,2020-04-09,10.5,,10.8,604.0,386.0,0.4
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2020-04-09,10.5,,10.0,251.0,161.0,0.4
Blackstone,Singletary Brook,42.18277682,-71.76604587,2020-04-09,10.9,,8.8,292.0,187.0,0.0
Blackstone,Dark Brook,42.20322946,-71.8374543,2020-04-09,10.4,,9.7,963.0,616.0,0.2
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2020-04-09,10.7,,8.6,756.0,484.0,0.4
Blackstone,Dark Brook,42.20670671,-71.85281517,2020-04-09,9.5,,8.0,326.0,209.0,
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2020-04-09,10.4,,10.0,327.0,209.0,
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-04-09,10.7,,7.7,283.0,181.0,0.1
Blackstone,Weasel Brook,42.30793443,-71.80008188,2020-07-01,8.4,,18.5,486.0,311.0,0.1
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-07-01,8.8,,18.3,587.0,375.0,0.1
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2020-07-01,7.9,,20.6,458.0,293.0,0.3
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2020-07-01,7.5,,23.3,658.0,421.0,0.4
Blackstone,Blackstone River,42.17728889,-71.68788468,2020-07-01,8.4,,21.8,561.0,359.0,0.3
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2020-07-01,8.7,,19.3,364.0,233.0,0.3
Blackstone,Singletary Brook,42.18277682,-71.76604587,2020-07-01,8.2,,21.0,288.0,184.0,0.1
Blackstone,Dark Brook,42.20322946,-71.8374543,2020-07-01,8.4,,20.6,1079.0,691.0,0.3
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2020-07-01,9.0,,18.6,1207.0,772.0,0.4
Blackstone,Dark Brook,42.20670671,-71.85281517,2020-07-01,7.9,,23.4,302.0,197.0,0.1
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2020-07-01,7.1,,23.6,349.0,224.0,0.1
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-07-01,8.4,,17.7,349.0,223.0,0.1
Blackstone,Weasel Brook,42.30793443,-71.80008188,2020-09-16,4.8,6.9,14.7,726.0,472.0,0.0
Blackstone,Poor Farm Brook,42.30647078,-71.76580774,2020-09-16,10.4,6.8,12.9,1011.0,657.0,0.0
Blackstone,Big Bummet Brook,42.23658166,-71.70515602,2020-09-16,8.4,7.2,17.2,608.0,395.0,0.0
Blackstone,Quinsigamond River,42.20836571,-71.69757011,2020-09-16,8.1,7.2,19.0,664.0,431.0,0.1
Blackstone,Blackstone River,42.17728889,-71.68788468,2020-09-16,9.4,7.8,17.8,816.0,531.0,0.1
Blackstone,Cold Spring Brook,42.17548786,-71.72816762,2020-09-16,10.0,6.9,13.0,393.0,256.0,0.1
Blackstone,Singletary Brook,42.18277682,-71.76604587,2020-09-16,10.1,7.6,14.8,335.0,218.0,0.0
Blackstone,Dark Brook,42.20322946,-71.8374543,2020-09-16,12.0,7.4,15.3,2255.0,1466.0,0.1
Blackstone,Unnamed Tributary,42.19026146,-71.84582602,2020-09-16,10.2,8.2,15.5,2069.0,1345.0,0.2
Blackstone,Dark Brook,42.20670671,-71.85281517,2020-09-16,8.8,7.4,17.2,593.0,386.0,0.0
Blackstone,Tatnuck Brook,42.26230119,-71.84822737,2020-09-16,8.3,7.2,16.8,332.0,216.0,0.0
Blackstone,Unnamed Tributary,42.30798331,-71.81943101,2020-09-16,9.5,7.3,15.2,417.0,271.0,0.1
Charles,Seaverns Brook,42.34154459,-71.26662505,2020-07-08,9.3,7.6,18.9,615.0,400.0,0.1
Charles,Seaverns Brook,42.34154459,-71.26662505,2020-08-05,8.9,7.8,20.5,745.0,484.0,0.1
Charles,Cherry Brook,42.38881334,-71.29698568,2020-07-08,6.2,6.9,21.7,383.0,249.0,0.3
Charles,Cherry Brook,42.38881334,-71.29698568,2020-08-05,7.1,7.3,21.5,442.0,287.0,0.2
Charles,Noanet Brook,42.25271181,-71.26296431,2020-07-08,,,,,,
Charles,Noanet Brook,42.25271181,-71.26296431,2020-08-05,,,,,,
Neponset,Purgatory Brook,42.20924747,-71.18482101,2020-07-08,7.8,7.0,20.1,862.0,561.0,0.4
Neponset,Purgatory Brook,42.20924747,-71.18482101,2020-08-05,5.8,6.8,21.9,921.0,599.0,0.3
Neponset,Mill Brook,42.18920084,-71.2401585,2020-07-08,8.4,6.8,19.3,303.0,197.0,0.4
Neponset,Mill Brook,42.18920084,-71.2401585,2020-08-05,7.9,7.0,21.1,462.0,301.0,0.3
Blackstone,Abbott Run,41.94464888,-71.37166023,2020-07-08,8.4,6.9,22.4,243.0,158.0,0.7
Blackstone,Abbott Run,41.94464888,-71.37166023,2020-08-05,7.4,6.9,24.6,229.0,149.0,0.9
Charles,Dix Brook,42.06029614,-71.42140501,2020-07-08,8.4,7.2,21.1,308.0,200.0,0.4
Charles,Dix Brook,42.06029614,-71.42140501,2020-08-05,7.8,7.1,23.0,438.0,285.0,0.4
Chicopee,Fuller Brook,42.16373516,-72.534428,2020-07-09,8.0,7.2,21.1,313.0,204.0,0.6
Chicopee,Fuller Brook,42.16373516,-72.534428,2020-08-06,8.2,7.2,19.5,405.0,263.0,0.8
Chicopee,Unnamed Tributary,42.18866352,-72.45219345,2020-07-09,9.3,7.1,16.9,160.0,104.0,0.2
Chicopee,Unnamed Tributary,42.18866352,-72.45219345,2020-08-06,8.7,7.2,18.2,172.0,112.0,0.2
Chicopee,Broad Brook,42.21061244,-72.40257059,2020-07-09,7.1,7.1,22.6,186.0,121.0,0.6
Chicopee,Broad Brook,42.21061244,-72.40257059,2020-08-06,3.9,6.6,16.7,337.0,219.0,0.7
Chicopee,Unnamed Tributary,42.2164917,-72.37689964,2020-07-09,7.9,6.5,21.1,92.0,60.0,0.4
Chicopee,Unnamed Tributary,42.2164917,-72.37689964,2020-08-06,1.7,6.3,17.4,150.0,97.0,0.4
Chicopee,Blodgett Mill Brook,42.17332508,-72.25295351,2020-07-09,8.6,7.6,22.7,220.0,143.0,0.4
Chicopee,Blodgett Mill Brook,42.17332508,-72.25295351,2020-08-06,9.3,7.5,19.1,198.0,129.0,0.4
Chicopee,O'Neil Brook,42.22326789,-72.22512226,2020-07-09,8.3,7.2,21.2,61.0,40.0,0.4
Chicopee,O'Neil Brook,42.22326789,-72.22512226,2020-08-06,8.6,7.2,19.6,64.0,41.0,0.3
Chicopee,Cranberry River,42.21712393,-71.99983627,2020-07-09,6.1,6.7,28.0,128.0,83.0,0.3
Chicopee,Cranberry River,42.21712393,-71.99983627,2020-08-06,6.8,6.6,22.7,136.0,88.0,0.3
Chicopee,Muddy Brook,42.35641055,-72.23099629,2020-07-15,7.1,6.5,20.0,64.0,41.0,0.4
Chicopee,Muddy Brook,42.35641055,-72.23099629,2020-08-12,4.6,6.2,19.7,62.0,40.0,0.3
Chicopee,Danforth Brook,42.31493164,-72.20590855,2020-07-15,8.5,7.5,20.1,176.0,114.0,0.1
Chicopee,Danforth Brook,42.31493164,-72.20590855,2020-08-12,8.0,7.4,22.4,172.0,112.0,0.1
Chicopee,Fish Brook,42.31601104,-72.18146595,2020-07-15,8.7,7.4,18.2,198.0,129.0,0.2
Chicopee,Fish Brook,42.31601104,-72.18146595,2020-08-12,7.8,7.3,19.9,190.0,123.0,0.3
Chicopee,Meadow Brook,42.28886649,-72.12794852,2020-07-15,8.4,6.6,19.1,146.0,95.0,0.7
Chicopee,Meadow Brook,42.28886649,-72.12794852,2020-08-12,5.4,6.4,21.2,114.0,74.0,0.1
Chicopee,Sucker Brook,42.2978692,-72.11726439,2020-07-15,8.5,7.3,20.8,104.0,67.0,0.0
Chicopee,Sucker Brook,42.2978692,-72.11726439,2020-08-12,7.9,7.2,23.7,111.0,72.0,0.1
Chicopee,Unnamed Tributary,42.31427223,-72.09667589,2020-07-15,7.0,6.2,18.6,169.0,110.0,0.0
Chicopee,Unnamed Tributary,42.31427223,-72.09667589,2020-08-12,,,,,,
Chicopee,Maynard Brook,42.33173523,-72.05029579,2020-07-15,5.7,6.3,23.1,60.0,39.0,0.3
Chicopee,Maynard Brook,42.33173523,-72.05029579,2020-08-12,6.0,6.4,29.5,55.0,36.0,0.0
Chicopee,Fivemile River,42.33884782,-72.03406499,2020-07-15,7.1,6.8,20.2,147.0,95.0,0.1
Chicopee,Fivemile River,42.33884782,-72.03406499,2020-08-12,6.4,6.7,23.4,164.0,106.0,0.1
Chicopee,East Branch Swift River,42.43816198,-72.20732375,2020-07-16,8.8,6.9,19.4,84.0,55.0,0.9
Chicopee,East Branch Swift River,42.43816198,-72.20732375,2020-08-13,8.4,7.1,20.5,,,0.7
