                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
1141                                  Stony Brook                 Merrimack        3.000000      100.000000             3
309                             Cold Spring Brook                Blackstone        2.625000      100.000000             1
916                             Unnamed Tributary                  Chicopee        2.500000      100.000000             0
868                                   Moose Brook                  Chicopee        2.500000      100.000000             1
1004                                   Vine Brook                 Shawsheen        2.333333      100.000000             3
204                               Hockomock River                   Taunton        2.250000      100.000000             3
1088                                  Otter River                   Millers        2.153846      100.000000             2
708                             Sudbury Reservoir          Concord (SuAsCo)        2.018519      100.000000            25
635                               Whitehall Brook          Concord (SuAsCo)        2.000000      100.000000             2
597                                 Quaboag River                  Chicopee        2.000000      100.000000             1
186                             Unnamed Tributary                   Taunton        2.000000      100.000000             0
496                           First Herring Brook             South Coastal        2.000000      100.000000             1
507                                  Accord Brook           Weymouth & Weir        2.000000      100.000000             2
545                                 Quaboag River                  Chicopee        2.000000      100.000000             0
541                                 Quaboag River                  Chicopee        2.000000      100.000000             0
554                                 Quaboag River                  Chicopee        2.000000      100.000000             0
1061                           Maple Meadow Brook                   Ipswich        2.000000      100.000000             3
555                                 Quaboag River                  Chicopee        2.000000      100.000000             1
596                                 Quaboag River                  Chicopee        2.000000      100.000000             0
528                                   Great Brook                  Chicopee        2.000000      100.000000             0
576                                  Axtell Brook                Blackstone        2.000000      100.000000             0
379                                  Miscoe Brook                Blackstone        2.000000      200.000000             1
1038                                Nashoba Brook          Concord (SuAsCo)        2.000000      100.000000             1
367                              Cook Allen Brook                Blackstone        2.000000      100.000000             2
593                                 Quaboag River                  Chicopee        2.000000      100.000000             0
782                            Broad Meadow Brook          Concord (SuAsCo)        2.000000      100.000000             1
589                                 Quaboag River                  Chicopee        2.000000      100.000000             1
1109                                Ipswich River                   Ipswich        2.000000      100.000000             1
384                                    Mine Brook                   Charles        1.900000      111.111111             1
1203                                 Packard Pond                   Millers        1.875000      100.000000             5
998                                    Vine Brook                 Shawsheen        1.866667      100.000000             8
939                                  Barkers Pond          Concord (SuAsCo)        1.846154      100.000000             6
1039                                 Bowers Brook                    Nashua        1.833333      100.000000             0
58                                    Turner Pond              Buzzards Bay        1.833333      120.000000             4
981                                   Sluice Pond             North Coastal        1.800000      100.000000             1
1090                                   Heart Pond          Concord (SuAsCo)        1.800000      100.000000            11
694                                 Gleasons Pond          Concord (SuAsCo)        1.800000      100.000000             8
628                               Powissett Brook                   Charles        1.800000      100.000000             0
1099                                 Beaver Brook                   Millers        1.769231      100.000000             0
192                              Winnetuxet River                   Taunton        1.750000      100.000000             1
973                                  Bloody Brook               Connecticut        1.700000      100.000000             1
1165                                Ipswich River                   Ipswich        1.666667      100.000000             0
349                                 Charles River                   Charles        1.666667      100.000000             0
157                                    Cooks Pond             South Coastal        1.666667       94.444444             7
889                             Upper Mystic Lake                    Mystic        1.666667      100.000000             4
63                              Unnamed Tributary              Buzzards Bay        1.666667      100.000000             0
1074                                Lubbers Brook                   Ipswich        1.666667       93.333333            10
499                                  Warren Brook                Blackstone        1.666667      100.000000             0
377                                    Mill River                   Charles        1.666667      100.000000             1
996                                  Saugus River             North Coastal        1.666667      100.000000             0
1131                           River Meadow Brook          Concord (SuAsCo)        1.666667      100.000000             0
1098                                Ipswich River                   Ipswich        1.666667      100.000000             0
1034                                 Saugus River             North Coastal        1.666667      112.500000             0
857                                      Spy Pond                    Mystic        1.649123      100.000000            26
954                                     Horn Pond                    Mystic        1.641026      100.000000            43
1228                              Stockwell Brook                   Millers        1.625000      100.000000             0
80                                      Mill Pond                  Cape Cod        1.615385      100.000000            16
1032                                    Fort Pond                    Nashua        1.607143       94.545455            16
639              Indian Brook/Hopkinton Reservoir          Concord (SuAsCo)        1.600000       80.000000             1
824                                  Beaver Brook                   Charles        1.600000      100.000000             1
851                                      Spy Pond                    Mystic        1.567568      100.000000            12
1044                              Shawsheen River                 Shawsheen        1.538462      100.000000             0
